
123133|3|3|100.00|2025-05-11T20:41:39.5926901
qwerty|1|1|100.00|2025-05-11T20:49:21.2256722
123456|1|1|100.00|2025-05-11T20:54:45.3403584
123|1|1|100.00|2025-05-11T20:56:46.9883507
123|1|1|100.00|2025-05-11T20:57:11.7103327
123|0|1|0.00|2025-05-11T20:59:16.9919778
123|1|1|100.00|2025-05-11T20:59:31.6964216
123|1|1|100.00|2025-05-11T21:04:45.3529353
abcsha|12|20|60.00|2025-05-11T21:09:53.8702568
123|1|1|100.00|2025-05-11T21:12:57.1077935
123|1|20|5.00|2025-05-11T21:12:57.1173073
sotka|4|20|20.00|2025-05-11T21:15:28.3440176
sotka|4|20|20.00|2025-05-11T21:15:28.356045
211221|2|20|10.00|2025-05-11T21:26:42.3274778
211221|2|20|10.00|2025-05-11T21:26:42.3339815
213213|2|20|10.00|2025-05-11T21:28:52.3533059
213213|2|20|10.00|2025-05-11T21:28:52.3608242
222|1|20|5.00|2025-05-11T21:31:04.4323351
222|1|20|5.00|2025-05-11T21:31:04.4428594
123432|3|20|15.00|2025-05-11T21:47:29.8230282
123432|3|20|15.00|2025-05-11T21:47:29.8305395
sasasa|14|20|70.00|2025-05-11T21:59:01.4353278
sasasa|14|20|70.00|2025-05-11T21:59:01.4434319
test|0|20|0.00|2025-05-11T21:59:32.0265428
test|0|20|0.00|2025-05-11T21:59:32.0275467
repo|16|20|80.00|2025-05-11T22:14:22.6882724
